Date,Object,X_AU,Y_AU,Z_AU,VX_AU_day,VY_AU_day,VZ_AU_day
A.D. 2025-Dec-20 00:00:00.0000,Mars (499),0.1690903184553244,-1.43132178744579,-0.03414079853830895,0.01442641293892367,0.002845217504778808,-0.0002941350091868915
A.D. 2025-Dec-21 00:00:00.0000,Mars (499),0.1835081387377097,-1.428405888380237,-0.03443324158385212,0.01440898327070313,0.00298658761677198,-0.000290744955261296
A.D. 2025-Dec-22 00:00:00.0000,Mars (499),0.1979077954142389,-1.425348600915023,-0.0347222761889246,0.01439008495202351,0.003127991599621379,-0.0002873181695755892
A.D. 2025-Dec-23 00:00:00.0000,Mars (499),0.2122878175200499,-1.422149899397703,-0.03500786574317816,0.01436971336207117,0.00326941298531827,-0.000283854884258871
A.D. 2025-Dec-24 00:00:00.0000,Mars (499),0.2266467295698734,-1.418809774709447,-0.03528997387219178,0.01434786409018111,0.003410835164825596,-0.0002803553443848077
A.D. 2025-Dec-25 00:00:00.0000,Mars (499),0.2409830517588552,-1.415328234407897,-0.03556856444518346,0.0143245329322976,0.003552241392790261,-0.000276819804161197
A.D. 2025-Dec-26 00:00:00.0000,Mars (499),0.2552953001679478,-1.411705302867204,-0.03584360158302542,0.01429971588226391,0.003693614790387131,-0.0002732485207677399
A.D. 2025-Dec-27 00:00:00.0000,Mars (499),0.2695819869733391,-1.407941021416798,-0.03611504966644882,0.01427340913267146,0.003834938342806373,-0.0002696417532756704
A.D. 2025-Dec-28 00:00:00.0000,Mars (499),0.2838416206590046,-1.404035448478749,-0.03638287334406569,0.01424560908787865,0.00397619489524774,-0.0002659997676606363
A.D. 2025-Dec-29 00:00:00.0000,Mars (499),0.2980727062324555,-1.399988659702002,-0.03664703754014674,0.01421631237599987,0.004117367151609437,-0.0002623228412170487
A.D. 2025-Dec-30 00:00:00.0000,Mars (499),0.312273745444793,-1.395800748092578,-0.03690750746259974,0.01418551585329018,0.004258437678518803,-0.000258611263021903
A.D. 2025-Dec-31 00:00:00.0000,Mars (499),0.3264432370156706,-1.391471824140628,-0.03716424861148238,0.01415321660614239,0.004399388916744048,-0.0002548653326560546
A.D. 2026-Jan-01 00:00:00.0000,Mars (499),0.3405796768622151,-1.387002015945254,-0.03741722678770108,0.01411941195403098,0.004540203195240467,-0.0002510853588872874
A.D. 2026-Jan-02 00:00:00.0000,Mars (499),0.354681558330501,-1.382391469336554,-0.037666408101236,0.01408409944947758,0.00468086273605707,-0.0002472716573619788
A.D. 2026-Jan-03 00:00:00.0000,Mars (499),0.3687473724295776,-1.37764034799374,-0.0379117589788392,0.01404727687550328,0.004821349645663341,-0.0002434245483363221
A.D. 2026-Jan-04 00:00:00.0000,Mars (499),0.3827756080695224,-1.372748833559302,-0.03815324617189345,0.01400894224743473,0.004961645906985891,-0.0002395443569526406
A.D. 2026-Jan-05 00:00:00.0000,Mars (499),0.3967647523042732,-1.367717125750259,-0.03839083676488517,0.01396909382087909,0.005101733384055071,-0.0002356314156639895
